CAS number,Principal name,Primary descriptor,Descriptor 2,Descriptor 3,Priority Date,Grant Date,,Publication Number
2437-25-4,Dodecanenitrile,Citrus,Orange,Mandarin,1933-05-18,1939-05-30,2203d,GB-438793-A
10031-87-5,2-Ethylbutyl acetate,Fruity,Sweet,Floral,1933-05-12,1934-09-04,480d,US-1972579-A
616-25-1,1-Penten-3-ol,Green,Fruity,Leafy,1933-04-24,1939-10-31,2381d,GB-418449-A
105-87-3,Geranyl acetate,Floral,Rose,Fruity,1933-04-11,1937-08-24,1596d,US-2091162-A
1963-36-6,p-Methoxycinnamaldehyde,Spicy,Cinnamon,Sweet,1933-03-24,1937-08-03,1593d,GB-435272-A
105-95-3,Ethylene brassylate,Musk like,Soft,Floral,1933-02-18,1940-05-03,2631d,GB-433632-A
54982-83-1,Ethylene dodecanedioate,Musk like,Powdery,Fruity,1933-02-18,1940-05-03,2631d,DE-690629-C
1128-08-1,3-Methyl-2-(n-pentanyl)-2-cyclopenten-1-one,Floral,Jasmin,Myrrh,1933-02-02,1935-05-16,833d,DE-613308-C
488-10-8,cis-Jasmone,Floral,Jasmin,Spicy,1933-02-02,1935-05-16,833d,DE-613308-C
614-34-6,p-Cresyl benzoate,Smoky,Woody,Ylang,1933-01-31,1936-12-15,1414d,GB-416256-A
94-30-4,Ethyl p-anisate,Anisic,Licorice,Powdery,1932-12-17,1933-10-10,297d,US-1930135-A
6283-92-7,Dodecyl lactate,Gourmand,Buttery,Creamy,1932-12-17,1936-08-10,1332d,DE-633871-C
94-02-0,Ethyl benzoylacetate,Fruity,Sweet,Powdery,1932-12-06,1935-11-19,1078d,GB-411458-A
562-74-3,4-Carvomenthenol,Herbal,Earthy,Woody,1932-11-28,1937-10-05,1772d,US-2094947-A
1197-01-9,"p-alpha,alpha-Trimethylbenzyl alcohol",Fruity,Cherry,Sweet,1932-11-21,1949-12-13,6231d,GB-415689-A
593-08-8,2-Tridecanone,Herbal,Fruity,Floral,1932-11-05,1935-09-02,1031d,GB-414712-A
3658-77-3,"4-Hydroxy-2,5-dimethyl-3(2H)-furanone",Gourmand,Caramel,Strawberry,1932-10-06,1937-10-26,1846d,US-2096950-A
111-79-5,Methyl 2-nonenoate,Green,Sweet,Fruity,1932-09-15,1934-06-03,626d,DE-599103-C
2111-75-3,"p-Mentha-1,8-dien-7-al",Green,Fresh,Herbal,1932-08-31,1943-05-04,3898d,DE-734668-C
2639-63-6,Hexyl butyrate,Fruity,Green,Pineapple,1932-07-29,1967-07-04,12758d,GB-405027-A
536-60-7,p-Isopropylbenzyl alcohol,Spicy,Sweet,Aromatic,1932-07-13,1936-01-14,1280d,GB-423735-A
105-43-1,3-Methylpentanoic acid,Acidic,Sharp,Cheesy,1932-05-24,1949-10-11,6349d,GB-414485-A
10486-19-8,Tridecanal,Aldehydic,Citrus,Green,1932-05-15,1936-06-16,1493d,US-2044730-A
111-11-5,Methyl octanoate,Fruity,Orange,Waxy,1932-03-23,1935-04-02,1105d,GB-402262-A
629-63-0,Myristo nitrile,Aldehydic,Floral,Green,1932-03-21,1936-07-14,1576d,US-2047668-A
638-11-9,Isopropyl butyrate,Fruity,Sweet,Pineapple,1932-03-09,1935-11-19,1350d,US-2021851-A
94-47-3,Phenethyl benzoate,Floral,Rose,Balsamic,1932-02-10,1933-02-28,384d,US-1899214-A
87-22-9,Phenethyl salicylate,Floral,Powdery,Rose,1932-01-05,1934-06-26,903d,US-1963955-A
86-26-0,o-Phenyl anisole,Floral,Fruity,Rose,1931-11-28,1933-01-03,402d,GB-410827-A
15356-60-2,d-Menthol,Minty,Fresh,Cooling,1931-11-03,1934-11-13,1106d,US-1980959-A
108-21-4,Isopropyl acetate,Fruity,Sweet,Banana,1931-10-05,1937-01-19,1933d,US-2068010-A
103-53-7,Phenethyl cinnamate,Floral,Spicy,Balsamic,1931-09-15,1937-08-31,2177d,US-2091800-A
108-64-5,Ethyl isovalerate,Fruity,Berry,Pineapple,1931-08-27,1934-09-18,1118d,US-1974028-A
111-13-7,2-Octanone,Green,Mushroom,Banana,1931-08-19,1938-07-12,2519d,CH-181435-A
2396-84-1,Ethyl sorbate,Fruity,Pineapple,Green,1931-08-04,1943-09-28,4438d,GB-387381-A
626-82-4,Butyl hexanoate,Fruity,Pear,Apple,1931-07-03,1934-01-30,942d,US-1944887-A
150-86-7,Phytol,Floral,Waxy,Powdery,1931-05-29,1936-11-10,1992d,US-2060254-A
5910-89-4,"2,3-Dimethylpyrazine",Food Like,Nutty,Roasted,1931-05-23,1939-05-31,2930d,DE-676256-C
108-47-4,"2,4-Dimethylpyridine",Smoky,Phenolic,Animal Like,1931-05-11,1935-10-29,1632d,US-2019419-A
99-75-2,Methyl p-methylbenzoate,Floral,Sweet,Anisic,1931-04-25,1932-12-01,586d,DE-565319-C
65405-69-8,Cyclohexyl cyclopent-2-ene-1-acetate,Woody,Vetiver,Grapefruit,1931-03-06,1933-07-11,858d,DE-580450-C
659-70-1,Isoamyl isovalerate,Fruity,Banana,Apple,1931-03-06,1933-07-11,858d,DE-580450-C
141-12-8,Neryl acetate,Floral,Citrus,Rose,1931-03-06,1933-07-11,858d,DE-580450-C
544-40-1,Butyl sulfide,Fruity,Rose,Geranium,1931-02-28,1937-02-08,2172d,DE-641468-C
30640-46-1,Methyl cyclohexadiene (mixture of isomers),Citrus,Lemon,Lime,1931-02-25,1936-05-05,1896d,US-2039365-A
13466-78-9,delta-3-Carene,Herbal,Green,Pine,1931-01-09,1937-08-03,2398d,US-2088684-A
1333-52-4,1-(Naphthyl)ethan-1-one,Floral,Ylang,Green,1930-12-27,1934-09-04,1347d,US-1972177-A
93-08-3,Methyl beta-naphthyl ketone,Floral,Neroli,Honey,1930-12-27,1934-09-04,1347d,US-1972177-A
112-66-3,Lauryl acetate,Floral,Citrus,Fresh,1930-12-10,1940-09-06,3558d,DE-695967-C
4798-44-1,1-Hexen-3-ol,Green,Fresh,Fruity,1930-10-31,1933-09-25,1060d,DE-584840-C
1076-56-8,1-Methyl-3-methoxy-4-isopropylbenzene,Woody,Smoky,Medicinal,1930-09-30,1933-09-19,1085d,GB-373896-A
79-78-7,Allyl alpha-ionone,Powdery,Floral,Violet,1930-09-18,1933-02-21,887d,US-1898075-A
150-78-7,p-Dimethoxybenzene,Powdery,Anisic,Balsamic,1930-08-15,1936-07-14,2160d,US-2047514-A
1653-30-1,2-Undecanol,Fruity,Oily,Peach,1930-06-14,1935-09-24,1928d,CH-156087-A
110-39-4,Octyl butyrate,Fruity,Green,Waxy,1930-05-04,1934-01-15,1352d,DE-562921-C
1193-81-3,1-Cyclohexylethanol,Herbal,Minty,Fruity,1930-04-17,1938-01-18,2833d,US-2105664-A
2511-00-4,"Cyclohexaneacetic acid, .alpha.-methyl-, ethyl ester",Fruity,Green,Pear,1930-04-17,1938-01-18,2833d,US-2105664-A
59471-80-6,"Cyclohexanone, 2-methyl-5-(1-methylethyl)-",Minty,Caraway,Spearmint,1930-04-08,1935-04-09,1827d,US-1996846-A
499-70-7,p-Menthan-2-one,Minty,Spearmint,Cooling,1930-04-08,1935-04-09,1827d,US-1996846-A
121-39-1,Ethyl 3-phenylglycidate,Fruity,Sweet,Strawberry,1930-03-10,1934-01-23,1415d,DE-591452-C
4395-92-0,p-Isopropyl phenylacetaldehyde,Green,Leafy,Woody,1930-03-10,1934-01-23,1415d,DE-591452-C
693-54-9,2-Decanone,Floral,Neroli,Peach,1930-03-10,1934-09-18,1653d,DE-602816-C
19009-56-4,2-Methyldecanal,Aldehydic,Citrus,Floral,1930-03-10,1934-09-18,1653d,DE-602816-C
110-41-8,2-Methylundecanal,Aldehydic,Orange,Citrus,1930-03-10,1934-09-18,1653d,DE-602816-C
112-12-9,2-Undecanone,Herbal,Floral,Citrus,1930-03-10,1934-09-18,1653d,DE-602816-C
611-13-2,Methyl 2-furoate,Gourmand,Nutty,Fruity,1930-02-28,1932-12-06,1012d,US-1890086-A
5137-52-0,Pentyl phenylacetate,Balsamic,Sweet,Honey,1930-02-07,1938-04-28,3002d,DE-659181-C
124-10-7,Methyl myristate,Floral,Oily,Violet,1930-01-27,1932-12-10,1048d,AT-130655-B
124-06-1,Ethyl myristate,Floral,Waxy,Violet,1930-01-27,1937-08-31,2773d,CH-158710-A
536-78-7,3-Ethylpyridine,Green,Leathery,Tobacco,1929-11-07,1953-11-12,8771d,CH-153381-A
121-98-2,Methyl anisate,Spicy,Balsamic,Anisic,1929-08-30,1931-10-06,767d,US-1826692-A
639-99-6,Elemol,Woody,Resinous,Balsamic,1929-08-07,1932-11-08,1189d,GB-359953-A
110-93-0,6-Methyl-5-hepten-2-one,Herbal,Green,Lavender,1929-08-07,1933-08-25,1479d,GB-359953-A
409-02-9,Methylheptenone (isomer unspecified),Gourmand,Nutty,Roasted,1929-08-07,1933-08-25,1479d,GB-359953-A
464-45-9,l-Borneol,Herbal,Camphoraceous,Pine,1929-08-07,1935-03-05,2036d,GB-359953-A
93-28-7,Eugenyl acetate,Floral,Spicy,Fruity,1929-08-07,1945-06-26,5802d,GB-359953-A
92-52-4,Biphenyl,Green,Rose,Geranium,1929-06-12,1933-03-24,1381d,CH-146652-A
3387-41-5,Sabinene,Balsamic,Woody,Pine,1929-04-15,1931-12-29,988d,GB-345517-A
556-24-1,Methyl isovalerate,Fruity,Apple,Pineapple,1929-03-18,1951-02-20,8009d,CH-142065-A
1196-01-6,"Bicyclo[3.1.1]hept-3-en-2-one, 4,6,6-trimethyl-, (1S,5S)-",Herbal,Camphoraceous,Minty,1929-03-05,1930-06-06,458d,DE-499455-C
28231-03-0,Cedrenol,Woody,Cedarwood,Amber,1929-03-05,1930-06-06,458d,DE-499455-C
77-53-2,Cedrol,Woody,Soft,Cedarwood,1929-03-05,1930-06-06,458d,DE-499455-C
80-27-3,Terpinyl propionate,Herbal,Pine,Fruity,1928-12-29,1932-04-29,1217d,DE-549631-C
23495-12-7,2-Phenoxyethyl propionate,Fruity,Balsamic,Myrrh,1928-12-29,1981-02-24,19050d,GB-327705-A
103-60-6,2-Phenoxyethyl isobutyrate,Floral,Fruity,Rose,1928-11-06,1959-12-22,11368d,CH-141873-A
123-96-6,2-Octanol,Green,Floral,Leafy,1928-09-29,1931-07-21,1025d,US-1815878-A
470-67-7,"1,4-Cineole",Citrus,Lime,Eucalyptus,1928-08-21,1931-06-30,1043d,GB-317757-A
99-85-4,"p-Mentha-1,4-diene",Herbal,Citrus,Spicy,1928-08-21,1940-07-16,4347d,GB-317757-A
939-48-0,Isopropyl benzoate,Fruity,Sweet,Floral,1928-07-03,1934-02-20,2058d,US-1948292-A
135-02-4,o-Methoxybenzaldehyde,Fruity,Sweet,Almond,1928-05-03,1930-03-04,670d,US-1749361-A
121-32-4,Ethyl vanillin,Gourmand,Vanilla,Caramel,1928-04-14,1943-03-15,5448d,GB-317381-A
2153-26-6,Terpinyl formate,Floral,Lavender,Fruity,1928-02-18,1932-02-12,1455d,DE-543429-C
589-98-0,3-Octanol,Earthy,Mushroom,Woody,1928-02-11,1933-07-25,1991d,US-1919727-A
140-39-6,p-Tolyl acetate,Floral,Ylang,Phenolic,1928-01-28,1932-10-25,1732d,US-1884626-A
7756-96-9,Butyl anthranilate,Floral,Neroli,Green,1927-11-17,1931-09-08,1391d,US-1822044-A
2344-70-9,4-Phenyl-2-butanol,Floral,Peony,Mimosa,1927-11-07,1953-01-12,9198d,GB-300177-A
4221-98-1,(-)-(R)-.alpha.-Phellandrene,Aromatic,Medicinal,Citrus,1927-11-05,1934-01-23,2271d,US-1944731-A
122-69-0,Cinnamyl cinnamate,Spicy,Cinnamon,Fruity,1927-10-13,1931-04-21,1286d,US-1802071-A
1577-18-0,"3-Hexenoic acid, (3E)-",Food Like,Cheesy,Fruity,1927-09-02,1931-11-24,1544d,US-1833274-A
513-85-9,"2,3-Butanediol",Fruity,Creamy,Buttery,1927-08-26,1933-03-25,2038d,GB-307085-A
576-26-1,"2,6-Xylenol",Smoky,Phenolic,Neutral,1927-08-25,1940-06-04,4667d,GB-300331-A
106-02-5,omega-Pentadecalactone,Musk like,Powdery,Balsamic,1927-07-27,1930-11-06,1198d,DE-511884-C
6812-78-8,Rhodinol,Floral,Rose,Geranium,1927-07-16,1966-09-27,14318d,CH-135222-A
579-07-7,"1-Phenyl-1,2-propanedione",Aromatic,Phenolic,Dry,1927-06-07,1928-10-16,497d,US-1687804-A
629-19-6,Dipropyl disulfide,Sulfurous,Onion,Green,1927-05-13,1930-08-26,1201d,US-1774183-A
3724-65-0,2-Butenoic acid,Acidic,cheesy,Green,1927-05-04,1928-10-09,524d,GB-289853-A
501-92-8,4-Allylphenol,Herbal,Thyme,Spicy,1927-04-19,1933-10-24,2380d,US-1932183-A
13380-94-4,"Tricyclo[5.2.1.02,6]decan-8-one",Balsamic,Woody,Oily,1927-04-12,1939-05-16,4417d,CH-139803-A
5452-75-5,Ethyl cyclohexylacetate,Floral,Fruity,Pear,1927-02-26,1932-03-22,1851d,US-1850144-A
106-33-2,Ethyl laurate,Floral,Aldehydic,Sweet,1927-02-24,1930-01-21,1062d,US-1744596-A
95-65-8,"3,4-Xylenol",Smoky,Roasted,Earthy,1927-02-07,1928-07-31,540d,US-1679312-A
617-94-7,2-Phenyl-2-propanol,Balsamic,Green,Floral,1926-12-23,1931-07-07,1657d,US-1813606-A
96-48-0,4-Hydroxybutanoic acid lactone,Fruity,Chocolate,Peach,1926-12-19,1929-03-14,816d,DE-473262-C
151-05-3,"1,1-Dimethyl-2-phenylethyl acetate",Fruity,Plum,Jasmin,1926-12-09,1932-05-12,1981d,DE-549399-C
80-59-1,2-Methyl-trans-2-butenoic acid,Spicy,Woody,Caramel,1926-12-09,1932-05-12,1981d,DE-549399-C
97-99-4,Tetrahydrofurfuryl alcohol,Gourmand,Nutty,Caramel,1926-10-25,1929-02-26,855d,GB-279520-A
4437-51-8,"3,4-Hexanedione",Gourmand,Buttery,Caramel,1926-10-02,1929-01-07,828d,DE-470160-C
97-95-0,2-Ethyl-1-butanol,Fruity,Sweet,Berry,1926-09-11,1933-07-18,2502d,CH-132614-A
122-40-7,alpha-Amylcinnamaldehyde,Floral,Jasmin,Balsamic,1926-09-08,1933-01-18,2324d,DE-568312-C
122-63-4,Benzyl propionate,Fruity,Floral,Jasmin,1926-09-08,1933-01-18,2324d,DE-568312-C
107-75-5,Hydroxycitronellal,Floral,Muguet,Aldehydic,1926-09-08,1933-01-18,2324d,DE-568312-C
4442-79-9,2-Cyclohexylethyl alcohol,Floral,Green,Peony,1926-07-24,1928-12-04,864d,US-1693801-A
5760-50-9,Methyl 9-undecenoate,Balsamic,Earthy,Rubbery,1926-07-24,1928-12-04,864d,US-1693801-A
2051-96-9,Benzyl 2-hydroxypropionate,Floral,Buttery,Fatty,1926-06-27,1931-12-31,2013d,DE-540902-C
825-51-4,Decahydro-beta-naphthol,Floral,Muguet,Clean,1926-06-24,1930-08-26,1524d,DE-505814-C
89-79-2,Isopulegol,Minty,Herbal,Sweet,1926-05-23,1933-01-16,2430d,DE-568085-C
57371-42-3,4-Allyl-2-methoxyphenyl benzyl ether,Spicy,Clove,Floral,1926-04-13,1932-04-27,2206d,DE-549432-C
7779-77-3,Isobutyl anthranilate,Fruity,Grape,Floral,1926-03-10,1928-01-17,678d,DE-454698-C
7779-50-2,omega-6-Hexadecenlactone,Musk like,Powdery,Sweet,1926-03-06,1927-09-17,560d,DE-449217-C
941-98-0,1-(1-Naphthyl)ethanone,Floral,Neroli,Sweet,1926-02-27,1930-02-15,1449d,DE-490358-C
473-54-1,"2,6,6-Trimethylbicyclo[3.1.1]heptan-3-ol",Aromatic,Pine,Woody,1926-01-31,1929-03-15,1139d,DE-473330-C
2785-87-7,2-Methoxy-4-propylphenol,Spicy,Dry,Bayleaf,1925-12-16,1928-05-03,869d,DE-459309-C
94-46-2,Isoamyl benzoate,Fruity,Balsamic,Apple,1925-12-04,1930-07-01,1670d,US-1769874-A
527-60-6,"2,4,6-Trimethylphenol",Smoky,Phenolic,Coffee,1925-12-04,1933-06-13,2748d,US-1913679-A
544-35-4,Ethyl linoleate,Fruity,Oily,Waxy,1925-11-21,1938-02-03,4457d,DE-573604-C
473-55-2,Dihydropinene,Herbal,Pine,Green,1925-11-21,1938-07-19,4623d,CH-126586-A
94-58-6,Dihydrosafrole,Spicy,Sweet,Floral,1925-11-17,1928-09-06,1024d,DE-465136-C
93-16-3,Isoeugenyl methyl ether,Spicy,Clove,Floral,1925-11-10,1930-04-25,1627d,AT-117483-B
98-02-2,Furfuryl mercaptan,Food Like,Coffee,Roasted,1925-11-04,1928-12-25,1147d,US-1696419-A
80-71-7,Methylcyclopentenolone,Gourmand,Sweet,Caramel,1925-11-04,1928-12-25,1147d,US-1696419-A
1438-94-4,N-Furfurylpyrrole,Green,Plastic,Waxy,1925-11-04,1928-12-25,1147d,US-1696419-A
4437-20-1,"2,2'-(Dithiodimethylene)-difuran",Sulfurous,Coffee,Onion,1925-11-04,1929-01-25,1178d,AT-112131-B
109-08-0,2-Methylpyrazine,Food Like,Nutty,Earthy,1925-11-04,1929-01-25,1178d,AT-112131-B
123-32-0,"2,5-Dimethylpyrazine",Food Like,Nutty,Roasted,1925-11-04,1930-01-23,1541d,CH-127511-A
1192-62-7,2-Furyl methyl ketone,Gourmand,Sweet,Milky,1925-11-04,1935-11-12,3660d,CH-127511-A
687-47-8,Ethyl (L)-lactate,Gourmand,Creamy,Ethereal,1925-10-14,1926-07-06,265d,US-1591652-A
7785-53-7,d-.alpha.-Terpineol,Herbal,Floral,Pine,1925-08-17,1927-12-20,855d,US-1653009-A
10482-56-1,p-Menth-1-en-8-ol (S),Herbal,Floral,Pine,1925-08-17,1927-12-20,855d,US-1653009-A
505-57-7,2-Hexenal,Green,Aldehydic,Floral,1925-08-07,1927-05-20,651d,DE-444441-C
6728-26-3,Hexen-2-al,Green,Aldehydic,Floral,1925-08-07,1927-05-20,651d,DE-444441-C
623-36-9,2-Methyl-2-pentenal,Herbal,Fresh,Floral,1925-08-06,1931-12-01,2308d,US-1834849-A
39255-32-8,Ethyl 2-methylpentanoate,Fruity,Sweet,Apple,1925-08-02,1930-09-06,1861d,DE-506677-C
21129-27-1,1-Methyl-4-(isopropyl)cyclohexan-1-ol,Floral,Citrus,Pine,1925-07-05,1929-06-21,1447d,DE-478273-C
4621-04-9,4-Isopropylcyclohexanol,Animal like,Floral,Rose,1925-07-04,1930-04-25,1756d,GB-254753-A
78-70-6,Linalool,Floral,Fresh,Lavender,1925-07-01,1930-09-30,1917d,GB-266209-A
99-83-2,alpha-Phellandrene,Citrus,Lime,Herbal,1925-06-29,1930-04-08,1744d,GB-258678-A
94108-09-5,"Ethyl  2-[[[4-(1,1-dimethylethyl)phenyl]methylene]amino]benzoate",Aldehydic,Floral,Herbal,1925-06-09,1925-10-27,140d,US-1559508-A
138-22-7,Butyl lactate,Gourmand,Milky,Fatty,1925-05-21,1928-06-12,1118d,US-1673111-A
123-07-9,p-Ethylphenol,Smoky,Leathery,Warm,1925-05-20,1929-05-25,1466d,KR-987001100-A
590-01-2,Butyl propionate,Fruity,Sweet,Banana,1925-02-24,1930-04-25,1886d,AT-117474-B
538-65-8,Butyl cinnamate,Balsamic,Spicy,Fruity,1925-02-15,1929-09-26,1684d,DE-483002-C
498-81-7,Dihydro-alpha-terpineol,Floral,Citrus,Pine,1924-12-23,1926-06-22,546d,US-1589688-A
58985-02-7,"Terpineol, dihydro-",Herbal,Pine,Citrus,1924-12-23,1926-06-22,546d,US-1589688-A
112-06-1,Heptyl acetate,Fruity,Green,Citrus,1924-12-05,1930-01-25,1877d,DE-490250-C
6378-65-0,Hexyl hexanoate,Fruity,Floral,Pear,1924-12-05,1930-01-25,1877d,DE-490250-C
140-67-0,Estragole,Herbal,Anisic,Tarragon,1924-11-22,1927-12-20,1123d,US-1653008-A
111-82-0,Methyl laurate,Aldehydic,Waxy,Coconut,1924-11-20,1929-06-04,1657d,US-1716000-A
6032-29-7,2-Pentanol,Gourmand,Fermented,Fruity,1924-10-21,1931-08-06,2480d,DE-531220-C
95-87-4,"2,5-Xylenol",Smoky,Roasted,sweet,1924-09-27,1926-10-06,739d,DE-434988-C
89-81-6,Piperitone,Herbal,Minty,Camphoraceous,1924-06-19,1931-06-23,2560d,US-1811777-A
2550-52-9,Cyclohexadecanone,Musk like,Animal Like,Powdery,1924-06-16,1928-06-12,1457d,GB-235540-A
502-72-7,Cyclopentadecanone,Musk like,Powdery,Animal Like,1924-06-16,1928-06-12,1457d,GB-235540-A
541-91-3,3-Methyl-1-cyclopentadecanone,Musk like,Powdery,Animal Like,1924-06-16,1930-05-26,2170d,AT-117860-B
2345-28-0,2-Pentadecanone,Floral,Oily,Fresh,1924-06-16,1944-11-28,7470d,CH-114217-A
2021-28-5,Ethyl 3-phenylpropionate,Floral,Hyacinth,Rose,1924-06-02,1927-03-15,1016d,US-1620977-A
106-36-5,Propyl propionate,Fruity,Sweet,Pineapple,1924-05-24,1933-01-12,3155d,GB-234458-A
102-13-6,Isobutyl phenylacetate,Floral,Rose,Honey,1924-05-24,1935-07-10,4064d,DE-615398-C
4573-50-6,l-Piperitone,Herbal,Minty,Green,1924-05-21,1932-07-25,2987d,GB-238314-A
103-26-4,Methyl cinnamate,Spicy,Balsamic,Cinnamon,1924-04-18,1926-12-20,976d,DE-438588-C
5292-21-7,Cyclohexaneacetic acid,Acidic,Cheesy,Food like,1924-03-10,1933-04-18,3326d,GB-230432-A
543-49-7,2-Heptanol,Herbal,Fresh,Lemongrass,1924-02-16,1933-11-07,3552d,DE-587775-C
95-16-9,Benzothiazole,Sulfurous,Coffee,Nutty,1924-02-15,1930-03-26,2231d,GB-229253-A
90-17-5,Trichloromethyl phenyl carbinyl acetate,Floral,Balsamic,Powdery,1924-01-31,1929-06-22,1969d,DE-478127-C
109-21-7,Butyl butyrate,Fruity,Raspberry,Blueberry,1923-06-16,1926-04-13,1032d,US-1580143-A
88-69-7,2-Isopropylphenol,Animal like,Phenolic,Woody,1923-06-12,1930-04-25,2509d,GB-214866-A
1335-10-0,Phenylpropionaldehyde,Green,Aldehydic,Floral,1923-05-25,1928-05-22,1824d,US-1670740-A
109-49-9,5-Hexen-2-one,Floral,Green,Fresh,1923-04-12,1926-06-21,1166d,CH-110107-A
19317-11-4,Farnesal,Minty,Floral,Aldehydic,1923-03-22,1927-10-04,1657d,GB-213250-A
4602-84-0,Farnesol,Floral,Warm,Powdery,1923-03-22,1927-10-04,1657d,GB-213250-A
142-50-7,Nerolidol (cis),Floral,Rose,Woody,1923-03-22,1927-10-04,1657d,GB-213250-A
40716-66-3,trans-Nerolidol,Floral,Rose,Woody,1923-03-22,1927-10-04,1657d,GB-213250-A
123-35-3,Myrcene,Citrus,Herbal,Dry,1923-03-22,1928-12-29,2109d,DE-469555-C
543-39-5,Myrcenol,Citrus,Fresh,Floral,1923-03-22,1928-12-29,2109d,DE-469555-C
106-27-4,Isoamyl butyrate,Fruity,Sweet,Banana,1923-02-24,1925-09-08,927d,US-1552804-A
105-66-8,Propyl butyrate,Fruity,Sweet,Tropical-Fruit,1923-02-24,1925-09-08,927d,US-1552804-A
101-48-4,Phenylacetaldehyde dimethyl acetal,Floral,Green,Hyacinth,1922-09-22,1926-09-10,1449d,AT-104120-B
617-35-6,Ethyl pyruvate,Fruity,Oily,Sweet,1922-07-19,1924-11-15,850d,DE-406216-C
623-17-6,Furfuryl acetate,Fruity,Banana,Sweet,1922-07-15,1924-06-03,689d,US-1496506-A
103-41-3,Benzyl cinnamate,Spicy,Balsamic,Cinnamon,1922-04-25,1924-03-04,679d,US-1485377-A
118-58-1,Benzyl salicylate,Floral,Balsamic,Dry,1922-04-25,1924-03-04,679d,US-1485377-A
89-43-0,Hydroxycitronellal-methyl anthranilate (Schiff base),Floral,Neroli,Warm,1922-03-23,1927-08-02,1958d,US-1637409-A
624-54-4,Pentyl propionate,Fruity,Sweet,Pineapple,1921-08-24,1923-11-30,828d,DE-385933-C
624-92-0,Dimethyl disulfide,Sulfurous,Onion,Cabbage,1921-07-26,1923-05-07,650d,DE-362742-C
100-47-0,Benzonitrile,Gourmand,Almond,Nutty,1921-06-07,1923-03-06,637d,DE-370750-C
623-70-1,Ethyl trans-2-butenoate,Fruity,Tropical-Fruit,Caramel,1921-04-14,1923-01-19,645d,DE-367294-C
10544-63-5,Ethyl trans-2-butenoate,Fruity,Tropical-Fruit,Caramel,1921-04-14,1923-01-19,645d,DE-367294-C
120-50-3,Isobutyl benzoate,Floral,Powdery,Gourmand,1921-02-25,1922-02-07,347d,US-1405490-A
93-53-8,2-Phenylpropionaldehyde,Green,Floral,Rose,1921-01-30,1923-10-27,1000d,DE-384351-C
90-42-6,2-Cyclohexylcyclohexanone,Floral,Cyclamen,Cumin,1921-01-21,1923-03-26,794d,DE-372347-C
2052-14-4,Butyl salicylate,Floral,Neroli,Fruity,1920-12-27,1923-02-06,771d,US-1444333-A
87-19-4,Isobutyl salicylate,Floral,Herbal,Spicy,1920-12-27,1923-02-06,771d,US-1444333-A
115-18-4,2-Methyl-3-buten-2-ol,Herbal,Earthy,Oily,1920-12-03,1924-05-13,1257d,DE-394797-C
87-41-2,2-Hydroxymethylbenzoic acid gamma lactone,Tobacco like,Hay,Coconut,1920-09-18,1923-02-05,870d,DE-368414-C
105-67-9,"2,4-Xylenol",Smoky,Roasted,Balsamic,1920-02-08,1922-08-31,935d,DE-357756-C
15149-10-7,2-(4-Methylphenoxy)ethanol,Floral,Anisic,Honey,1919-12-15,1923-03-29,1200d,DE-372546-C
2179-57-9,Allyl disulfide,Sulfurous,Onion,Garlic,1919-10-08,1930-06-24,3912d,CH-92248-A
18172-67-3,l-.beta.-Pinene,Herbal,Pine,Woody,1919-07-02,1923-02-27,1336d,US-1446873-A
8025-95-4,Parsley oleoresin,Spicy,Green,Peppery,1919-06-06,1920-10-18,500d,DE-328009-C
551-93-9,2-Aminoacetophenone,Floral,Neroli,Grape,1919-06-01,1921-03-26,664d,DE-335197-C
7452-79-1,Ethyl 2-methylbutyrate,Fruity,Strawberry,Peach,1919-05-28,1999-07-13,29266d,US-5922747-A
540-42-1,Isobutyl propionate,Fruity,Sweet,Fermented,1919-05-28,1999-07-13,29266d,US-5922747-A
868-57-5,Methyl 2-methylbutyrate,Fruity,Green,Apple,1919-05-28,1999-07-13,29266d,US-5922747-A
112-30-1,1-Decanol,Citrus,Fruity,Orange,1919-04-23,2001-11-06,30148d,US-6312958-B1
4747-07-3,1-Methoxyhexane,Floral,Sweet,Lavender,1919-04-23,2001-11-06,30148d,US-6312958-B1
112-70-9,1-Tridecanol,Floral,Woody,Green,1919-04-23,2001-11-06,30148d,US-6312958-B1
104-76-7,2-Ethyl-1-hexanol,Camphoraceous,Aldehydic,Sweet,1919-04-23,2001-11-06,30148d,US-6312958-B1
123-05-7,2-Ethylhexanal,Fruity,Green,Oily,1919-04-23,2001-11-06,30148d,US-6312958-B1
2436-90-0,Dihydromyrcene,Herbal,Citrus,Lime,1919-04-23,2001-11-06,30148d,US-6312958-B1
106-30-9,Ethyl heptanoate,Fruity,Sweet,Plum,1919-04-23,2001-11-06,30148d,US-6312958-B1
123-66-0,Ethyl hexanoate,Fruity,Pineapple,Banana,1919-04-23,2001-11-06,30148d,US-6312958-B1
105-37-3,Ethyl propionate,Fruity,Apple,Pear,1919-04-23,2001-11-06,30148d,US-6312958-B1
539-82-2,Ethyl valerate,Fruity,Pineapple,Tropical-Fruit,1919-04-23,2001-11-06,30148d,US-6312958-B1
629-33-4,Hexyl formate,Fruity,Apple,Plum,1919-04-23,2001-11-06,30148d,US-6312958-B1
27458-94-2,Isononyl alcohol (isomer unspecified),Green,Geranium,Camphoraceous,1919-04-23,2001-11-06,30148d,US-6312958-B1
