CAS number,Principal name,Primary descriptor,Descriptor 2,Descriptor 3,Priority Date,Grant Date,,Publication Number
28462-85-3,"endo-1,2,3,3-Tetramethylbicyclo[2.2.1]heptan-2-ol",Green,Mossy,Earthy,2013-12-13,2017-11-14,1432d,US-2015164764-A1
69-79-4,"D-Glucose, 4-O-α-D-glucopyranosyl-",Gourmand,Sweet,Fruity,2013-08-02,2022-08-23,3308d,US-11421223-B2
476332-65-7,"2H-Indeno[4,5b] furan, decahydro-2,2,6,6,7,8,8-heptamethyl",Amber,Woody,Dry,2013-05-20,2020-03-31,2507d,EP-2806018-A1
108766-16-1,"l-Menthyl (R,S)-3-hydroxybutyrate",Minty,Cooling,Fresh,2013-03-22,2019-08-27,2349d,TW-201440807-A
67800-80-0,Methyl  2-[(2-methylundecylidene)amino]benzoate,Floral,Neroli,Green,2012-12-14,2016-06-08,1272d,JP-2014118372-A
188570-78-7,"Cyclopropanecarboxylic acid, (3Z)-3-hexenyl ester",Green,Fresh,Fruity,2012-12-14,2018-12-05,2182d,AU-2013359040-A1
115-71-9,cis-alpha-Santalol,Woody,Sandalwood,Dry,2012-11-01,,,US-2016108374-A1
133636-82-5,Trimethyl-bicyclo-heptane-spirocyclohexenone,Woody,Cedarwood,Sweet,2012-03-20,2018-10-31,2416d,EP-2828240-B1
888744-18-1,"3-Hexene, 1-(2-buten-1-yloxy)-, (3Z)-",Green,Fresh,Floral,2012-01-17,2017-10-04,2087d,EP-2804935-A1
15848-49-4,"2-Cyclopentene-1-acetic acid, ethyl ester",Fruity,Pineapple,Pear,2011-12-14,2017-05-24,1988d,CN-103160375-A
1392277-05-2,"2H-2,4a-Methanonaphthalen-1(5H)-one, hexahydro-5,5-dimethyl-2-propyl-",Woody,Amber,Dry,2011-12-02,2016-02-08,1529d,DK-2785675-T3
1338815-87-4,"4,7-Methano-1H-indene-5-carboxaldehyde,  octahydro-6-methyl-",Floral,Muguet,Green,2011-11-02,2015-11-25,1484d,EP-2589649-A1
67785-76-6,"Benzoic acid, 2-[(2-phenylethylidene)amino]-, methyl ester",Green,Hyacinth,Floral,2011-10-17,2016-11-15,1856d,EP-2775839-A2
14735-72-9,"Benzoic acid, 2-.(..(.(4-methoxyphenyl)methylene.).amino.).-,methyl ester",Floral,Neroli,Sweet,2011-10-17,2016-11-15,1856d,EP-2775839-A2
68228-09-1,"Ethyl  2-[[[2,4(or3,5)-dimethyl-3-cyclohexen-1-yl]methyl]amino]benzoate",Green,Grassy,Fresh,2011-10-17,2016-11-15,1856d,EP-2775839-A2
676125-00-1,"2H-2,4a-Methanonaphthalene, 1,3,4,5,6,7-hexahydro-7-methoxy-1,1,5,5-tetramethyl-",Woody,Vetiver,Grapefruit,2011-09-09,2014-07-23,1048d,EP-2568035-A1
60763-42-0,"3,6-Dimethyl-3-octanyl acetate",Floral,Sweet,Fruity,2011-09-07,2018-05-01,2428d,US-2014221269-A1
68844-96-2,"1,3-Benzodioxole-5-propanol, alpha-methyl-, 5-acetate",Fruity,Watery,Apple,2011-08-10,2017-05-17,2107d,EP-2741731-B1
76649-26-8,"3,6-Nonadien-1-ol, 1-acetate",Green,Fresh,Floral,2010-07-29,,,US-2012055075-A1
22882-89-9,"(Z)1-Ethoxy-3,7-dimethylocta-2,6-diene",Floral,Fruity,Green,2010-07-19,,,US-2012014883-A1
